diseases,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16
Intracranial Hemorrhage (paralysis),abnormal_involuntary_movements,difficulty_speaking,vomiting,diminished_vision,,,,,,,,,,,,
Jaundice,lack_of_growth,vomiting,unusual_color_or_odor_to_urine,,,,,,,,,,,,,
Jaundice,lack_of_growth,sharp_abdominal_pain,vomiting,lower_abdominal_pain,recent_weight_loss,fever,unusual_color_or_odor_to_urine,fatigue,,,,,,,,
Liver Disease,shortness_of_breath,jaundice,nausea,diarrhea,peripheral_edema,,,,,,,,,,,
Liver Disease,shortness_of_breath,nausea,diarrhea,weakness,side_pain,unusual_color_or_odor_to_urine,,,,,,,,,,
Malaria,fainting,headache,knee_lump_or_mass,fever,,,,,,,,,,,,
Malaria,vomiting,headache,knee_lump_or_mass,muscle_pain,fever,chills,sweating,,,,,,,,,
Migraine,blindness,vomiting,headache,nausea,diminished_vision,spots_or_clouds_in_vision,,,,,,,,,,
Migraine,vomiting,spots_or_clouds_in_vision,symptoms_of_the_face,disturbance_of_memory,,,,,,,,,,,,
Noninfectious Gastroenteritis,sharp_abdominal_pain,vomiting,diarrhea,burning_abdominal_pain,decreased_appetite,rectal_bleeding,fluid_retention,,,,,,,,,
Noninfectious Gastroenteritis,vomiting,headache,nausea,diarrhea,fever,chills,rectal_bleeding,fluid_retention,,,,,,,,
Osteoarthritis,hip_pain,hand_or_finger_pain,knee_pain,ankle_pain,elbow_pain,muscle_pain,joint_pain,,,,,,,,,
Osteoarthritis,leg_pain,hip_pain,knee_pain,ankle_pain,knee_weakness,elbow_pain,knee_swelling,muscle_pain,joint_pain,,,,,,,
Peptic Ulcer Disease,sharp_chest_pain,blood_in_stool,sharp_abdominal_pain,vomiting,nausea,vomiting_blood,burning_abdominal_pain,heartburn,changes_in_stool_appearance,,,,,,,
Peptic Ulcer Disease,sharp_abdominal_pain,nausea,vomiting_blood,changes_in_stool_appearance,,,,,,,,,,,,
Pneumonia,sharp_chest_pain,cough,nasal_congestion,vomiting,wheezing,fever,difficulty_breathing,coryza,,,,,,,,
Pneumonia,shortness_of_breath,cough,nasal_congestion,wheezing,weakness,chills,coryza,,,,,,,,,
Psoriasis,skin_lesion,itching_of_skin,skin_dryness_peeling_scaliness_or_roughness,skin_rash,,,,,,,,,,,,
Psoriasis,abnormal_appearing_skin,skin_lesion,joint_pain,skin_rash,,,,,,,,,,,,
Tuberculosis,sharp_chest_pain,chest_tightness,hemoptysis,jaundice,coughing_up_sputum,vomiting,swollen_lymph_nodes,recent_weight_loss,decreased_appetite,fever,difficulty_breathing,chills,fatigue,sweating,,
Tuberculosis,cough,vaginal_itching,,,,,,,,,,,,,,
Typhoid,sharp_abdominal_pain,vomiting,nausea,diarrhea,lower_abdominal_pain,fever,chills,fatigue,constipation,,,,,,,
Typhoid,sharp_abdominal_pain,vomiting,headache,diarrhea,lower_abdominal_pain,fever,chills,fatigue,constipation,,,,,,,
Urinary Tract Infection,retention_of_urine,vomiting,lower_abdominal_pain,back_pain,,,,,,,,,,,,
Urinary Tract Infection,retention_of_urine,suprapubic_pain,frequent_urination,lower_abdominal_pain,blood_in_urine,,,,,,,,,,,
Varicose Veins,skin_lesion,peripheral_edema,leg_swelling,leg_cramps_or_spasms,ache_all_over,lymphedema,,,,,,,,,,
Varicose Veins,leg_pain,skin_lesion,leg_swelling,leg_cramps_or_spasms,ache_all_over,lymphedema,,,,,,,,,,
Viral Hepatitis,blood_in_stool,jaundice,sharp_abdominal_pain,vomiting,lower_abdominal_pain,decreased_appetite,fever,unusual_color_or_odor_to_urine,joint_pain,fatigue,,,,,,
Viral Hepatitis,jaundice,sharp_abdominal_pain,vomiting,nausea,lower_abdominal_pain,decreased_appetite,unusual_color_or_odor_to_urine,joint_pain,,,,,,,,
